Jogador;gols_totais;ass_totais;xG_totais;npxG_totais;xAG_totais;SCA_totais;GCA_totais;PrgP_totais;PrgC_totais;conducoes_totais;tent_drible_totais;suc_drible_totais;bloqueios_totais;amarelos_totais;vermelhos_totais;minutos_totais;G/90;A/90;xG/90;npxG/90;xAG/90;SCA/90;GCA/90;PrgP/90;PrgC/90;Conducoes/90;Tent/90;Suc/90;Bloq/90;Am/90;Vm/90;G+A;G+A/90;G-xG;xG+xAG;xG+xAG/90;Drible%
Moises;7;2;5.6;5.6;2.8;47.0;7.0;25.0;49.0;255.0;71.0;33.0;7.0;0;0;1171.0;0.5380017079419299;0.1537147736976943;0.4304013663535439;0.4304013663535439;0.21520068317677196;3.6122971818958156;0.5380017079419299;1.9214346712211785;3.76601195559351;19.598633646456022;5.456874466268147;2.5362937660119553;0.5380017079419299;0.0;0.0;9;0.6917164816396243;1.4000000000000004;8.399999999999999;0.6456020495303159;0.4647887323943662
Lucas Barbosa;7;2;6.1000000000000005;6.1000000000000005;3.2;69.0;4.0;103.0;61.0;692.0;51.0;18.0;57.0;12;1;2443.0;0.25787965616045844;0.07367990176013099;0.22472370036839953;0.22472370036839953;0.11788784281620959;2.541956610724519;0.14735980352026198;3.7945149406467458;2.247237003683995;25.493246009005322;1.8788374948833402;0.6631191158411789;2.099877200163733;0.44207941056078587;0.036839950880065496;9;0.33155955792058944;0.8999999999999995;9.3;0.3426115431846091;0.35294117647058826
Thaciano;7;2;5.6000000000000005;5.6000000000000005;2.4;56.0;5.0;50.0;20.0;430.0;20.0;10.0;16.0;6;0;2343.0;0.26888604353393086;0.0768245838668374;0.21510883482714468;0.21510883482714468;0.09218950064020486;2.151088348271447;0.19206145966709348;1.9206145966709345;0.7682458386683739;16.51728553137004;0.7682458386683739;0.38412291933418696;0.6145966709346992;0.23047375160051214;0.0;9;0.34571062740076824;1.3999999999999995;8.0;0.3072983354673496;0.5
André Silva;7;2;3.9;3.9;0.8;36.0;3.0;32.0;20.0;327.0;25.0;12.0;18.0;3;0;1535.0;0.4104234527687296;0.11726384364820848;0.2286644951140065;0.2286644951140065;0.04690553745928339;2.1107491856677525;0.1758957654723127;1.8762214983713357;1.1726384364820848;19.172638436482085;1.4657980456026058;0.7035830618892508;1.0553745928338762;0.1758957654723127;0.0;9;0.5276872964169381;3.1;4.7;0.27557003257328994;0.48
Luiz Henrique;7;3;6.7;5.8999999999999995;3.6;99.0;7.0;74.0;84.0;772.0;157.0;90.0;38.0;3;0;2533.0;0.2487169364390051;0.10659297275957363;0.23805763916304779;0.20963284642716146;0.12791156731148837;3.51756810106593;0.2487169364390051;2.629293328069483;2.9846032372680615;27.42992499013028;5.5783655744176865;3.1977891827872087;1.3501776549545994;0.10659297275957363;0.0;10;0.35530990919857874;0.2999999999999998;10.3;0.3659692064745361;0.5732484076433121
Martin Braithwaite;7;2;5.2;5.2;1.2999999999999998;30.0;7.0;29.0;19.0;258.0;28.0;11.0;6.0;1;0;1395.0;0.45161290322580644;0.12903225806451613;0.33548387096774196;0.33548387096774196;0.08387096774193548;1.935483870967742;0.45161290322580644;1.8709677419354838;1.2258064516129032;16.64516129032258;1.8064516129032258;0.7096774193548387;0.3870967741935484;0.06451612903225806;0.0;9;0.5806451612903226;1.7999999999999998;6.5;0.41935483870967744;0.39285714285714285
Arthur;7;2;5.0;5.0;3.0;82.0;6.0;46.0;48.0;529.0;69.0;27.0;21.0;5;0;2496.0;0.25240384615384615;0.07211538461538461;0.1802884615384615;0.1802884615384615;0.10817307692307693;2.956730769230769;0.21634615384615385;1.6586538461538463;1.7307692307692308;19.07451923076923;2.487980769230769;0.9735576923076923;0.7572115384615384;0.1802884615384615;0.0;9;0.3245192307692308;2.0;8.0;0.28846153846153844;0.391304347826087
Paulinho;7;1;5.8;5.0;1.3;88.0;3.0;83.0;52.0;649.0;50.0;28.0;13.0;2;1;1889.0;0.33350979354155635;0.04764425622022234;0.27633668607728956;0.2382212811011117;0.06193753308628905;4.192694547379566;0.142932768660667;3.954473266278454;2.4775013234515617;30.921122286924298;2.382212811011117;1.3340391741662254;0.6193753308628904;0.09528851244044469;0.04764425622022234;8;0.38115404976177875;1.2000000000000002;7.1;0.3382742191635786;0.56
Memphis;7;1;3.7;2.9;0.9;37.0;6.0;31.0;24.0;252.0;30.0;13.0;4.0;2;0;793.0;0.7944514501891552;0.11349306431273644;0.41992433795712486;0.3291298865069357;0.1021437578814628;4.199243379571248;0.6809583858764187;3.5182849936948295;2.7238335435056746;28.600252206809586;3.404791929382093;1.4754098360655739;0.45397225725094575;0.22698612862547288;0.0;8;0.9079445145018915;3.3;4.6000000000000005;0.5220680958385877;0.43333333333333335
Isidro Pitta;7;2;9.700000000000001;6.6;3.7;70.0;6.0;52.0;49.0;497.0;50.0;17.0;8.0;5;0;2831.0;0.22253620628753093;0.06358177322500883;0.3083716001412929;0.20981985164252911;0.11762628046626634;2.225362062875309;0.1907453196750265;1.6531261038502296;1.5577534440127165;15.800070646414696;1.5895443306252208;0.5404450724125751;0.2543270929000353;0.15895443306252208;0.0;9;0.28611797951253976;-2.700000000000001;13.400000000000002;0.4259978806075592;0.34
